country,code,region,year,spending,life_expectancy
Argentina,ARG,Americas,2011,1721,76.1
Argentina,ARG,Americas,2012,1823,75.8
Argentina,ARG,Americas,2013,1898,75.8
Argentina,ARG,Americas,2014,1837,76.3
Argentina,ARG,Americas,2015,1979,76.6
Argentina,ARG,Americas,2016,1956,76.1
Argentina,ARG,Americas,2017,2454,76.5
Argentina,ARG,Americas,2018,2591,76.8
Argentina,ARG,Americas,2019,2463,76.8
Argentina,ARG,Americas,2020,2478,75.9
Argentina,ARG,Americas,2021,3010,73.9
Argentina,ARG,Americas,2022,3231,75.8
Australia,AUS,Asia-Pacific,2011,3809,81.9
Australia,AUS,Asia-Pacific,2012,3854,82.0
Australia,AUS,Asia-Pacific,2013,4088,82.1
Australia,AUS,Asia-Pacific,2014,4556,82.3
Australia,AUS,Asia-Pacific,2015,4756,82.4
Australia,AUS,Asia-Pacific,2016,5037,82.4
Australia,AUS,Asia-Pacific,2017,5077,82.5
Australia,AUS,Asia-Pacific,2018,5226,82.8
Australia,AUS,Asia-Pacific,2019,5281,82.9
Australia,AUS,Asia-Pacific,2020,5855,83.2
Australia,AUS,Asia-Pacific,2021,6592,83.3
Australia,AUS,Asia-Pacific,2022,6982,83.2
Austria,AUT,Western Europe,2011,4365,81.1
Austria,AUT,Western Europe,2012,4605,81.1
Austria,AUT,Western Europe,2013,4782,81.3
Austria,AUT,Western Europe,2014,4881,81.6
Austria,AUT,Western Europe,2015,4983,81.3
Austria,AUT,Western Europe,2016,5250,81.8
Austria,AUT,Western Europe,2017,5381,81.7
Austria,AUT,Western Europe,2018,5578,81.8
Austria,AUT,Western Europe,2019,6016,82.0
Austria,AUT,Western Europe,2020,6295,81.3
Austria,AUT,Western Europe,2021,7465,81.3
Austria,AUT,Western Europe,2022,7920,81.4
Belgium,BEL,Western Europe,2011,4102,80.7
Belgium,BEL,Western Europe,2012,4293,80.5
Belgium,BEL,Western Europe,2013,4481,80.7
Belgium,BEL,Western Europe,2014,4620,81.4
Belgium,BEL,Western Europe,2015,4840,81.1
Belgium,BEL,Western Europe,2016,5036,81.5
Belgium,BEL,Western Europe,2017,5186,81.6
Belgium,BEL,Western Europe,2018,5405,81.7
Belgium,BEL,Western Europe,2019,5806,82.1
Belgium,BEL,Western Europe,2020,6091,80.8
Belgium,BEL,Western Europe,2021,6549,81.9
Belgium,BEL,Western Europe,2022,7078,81.8
Brazil,BRA,Americas,2011,1179,74.0
Brazil,BRA,Americas,2012,1223,74.3
Brazil,BRA,Americas,2013,1299,74.6
Brazil,BRA,Americas,2014,1376,74.8
Brazil,BRA,Americas,2015,1361,75.1
Brazil,BRA,Americas,2016,1340,75.1
Brazil,BRA,Americas,2017,1365,75.4
Brazil,BRA,Americas,2018,1454,75.6
Brazil,BRA,Americas,2019,1547,75.8
Brazil,BRA,Americas,2020,1578,74.5
Brazil,BRA,Americas,2021,1778,73.0
Brazil,BRA,Americas,2022,1898,74.9
Bulgaria,BGR,Central and Eastern Europe,2011,1085,74.2
Bulgaria,BGR,Central and Eastern Europe,2012,1180,74.4
Bulgaria,BGR,Central and Eastern Europe,2013,1178,74.9
Bulgaria,BGR,Central and Eastern Europe,2014,1357,74.5
Bulgaria,BGR,Central and Eastern Europe,2015,1387,74.7
Bulgaria,BGR,Central and Eastern Europe,2016,1545,74.9
Bulgaria,BGR,Central and Eastern Europe,2017,1652,74.8
Bulgaria,BGR,Central and Eastern Europe,2018,1755,75.0
Bulgaria,BGR,Central and Eastern Europe,2019,1885,75.1
Bulgaria,BGR,Central and Eastern Europe,2020,2238,73.3
Bulgaria,BGR,Central and Eastern Europe,2021,2654,71.2
Bulgaria,BGR,Central and Eastern Europe,2022,2803,74.2
Canada,CAN,Americas,2011,4231,81.6
Canada,CAN,Americas,2012,4341,81.8
Canada,CAN,Americas,2013,4434,81.8
Canada,CAN,Americas,2014,4542,81.9
Canada,CAN,Americas,2015,4641,81.9
Canada,CAN,Americas,2016,5049,82.0
Canada,CAN,Americas,2017,5185,81.9
